"date","geo","keyword","hits"
2012-01-01,"US","%2Fm%2F027vd9",65
2012-02-01,"US","%2Fm%2F027vd9",67
2012-03-01,"US","%2Fm%2F027vd9",86
2012-04-01,"US","%2Fm%2F027vd9",96
2012-05-01,"US","%2Fm%2F027vd9",83
2012-06-01,"US","%2Fm%2F027vd9",57
2012-07-01,"US","%2Fm%2F027vd9",39
2012-08-01,"US","%2Fm%2F027vd9",46
2012-09-01,"US","%2Fm%2F027vd9",64
2012-10-01,"US","%2Fm%2F027vd9",99
2012-11-01,"US","%2Fm%2F027vd9",75
2012-12-01,"US","%2Fm%2F027vd9",57
2013-01-01,"US","%2Fm%2F027vd9",60
2013-02-01,"US","%2Fm%2F027vd9",75
2013-03-01,"US","%2Fm%2F027vd9",76
2013-04-01,"US","%2Fm%2F027vd9",80
2013-05-01,"US","%2Fm%2F027vd9",72
2013-06-01,"US","%2Fm%2F027vd9",44
2013-07-01,"US","%2Fm%2F027vd9",37
2013-08-01,"US","%2Fm%2F027vd9",42
2013-09-01,"US","%2Fm%2F027vd9",66
2013-10-01,"US","%2Fm%2F027vd9",100
2013-11-01,"US","%2Fm%2F027vd9",99
2013-12-01,"US","%2Fm%2F027vd9",59
2014-01-01,"US","%2Fm%2F027vd9",58
2014-02-01,"US","%2Fm%2F027vd9",67
2014-03-01,"US","%2Fm%2F027vd9",70
2014-04-01,"US","%2Fm%2F027vd9",72
2014-05-01,"US","%2Fm%2F027vd9",75
2014-06-01,"US","%2Fm%2F027vd9",45
2014-07-01,"US","%2Fm%2F027vd9",37
2014-08-01,"US","%2Fm%2F027vd9",42
2014-09-01,"US","%2Fm%2F027vd9",61
2014-10-01,"US","%2Fm%2F027vd9",89
2014-11-01,"US","%2Fm%2F027vd9",69
2014-12-01,"US","%2Fm%2F027vd9",53
2015-01-01,"US","%2Fm%2F027vd9",54
2015-02-01,"US","%2Fm%2F027vd9",65
2015-03-01,"US","%2Fm%2F027vd9",70
2015-04-01,"US","%2Fm%2F027vd9",67
2015-05-01,"US","%2Fm%2F027vd9",60
2015-06-01,"US","%2Fm%2F027vd9",40
2015-07-01,"US","%2Fm%2F027vd9",34
2015-08-01,"US","%2Fm%2F027vd9",43
2015-09-01,"US","%2Fm%2F027vd9",67
2015-10-01,"US","%2Fm%2F027vd9",78
2015-11-01,"US","%2Fm%2F027vd9",66
2015-12-01,"US","%2Fm%2F027vd9",51
2016-01-01,"US","%2Fm%2F027vd9",46
2016-02-01,"US","%2Fm%2F027vd9",56
2016-03-01,"US","%2Fm%2F027vd9",56
2016-04-01,"US","%2Fm%2F027vd9",58
2016-05-01,"US","%2Fm%2F027vd9",54
2016-06-01,"US","%2Fm%2F027vd9",39
2016-07-01,"US","%2Fm%2F027vd9",32
2016-08-01,"US","%2Fm%2F027vd9",37
2016-09-01,"US","%2Fm%2F027vd9",54
2016-10-01,"US","%2Fm%2F027vd9",65
2016-11-01,"US","%2Fm%2F027vd9",58
2016-12-01,"US","%2Fm%2F027vd9",46
2017-01-01,"US","%2Fm%2F027vd9",49
2017-02-01,"US","%2Fm%2F027vd9",53
2017-03-01,"US","%2Fm%2F027vd9",51
2017-04-01,"US","%2Fm%2F027vd9",50
2017-05-01,"US","%2Fm%2F027vd9",54
2017-06-01,"US","%2Fm%2F027vd9",36
2017-07-01,"US","%2Fm%2F027vd9",32
2017-08-01,"US","%2Fm%2F027vd9",37
2017-09-01,"US","%2Fm%2F027vd9",46
2017-10-01,"US","%2Fm%2F027vd9",67
2017-11-01,"US","%2Fm%2F027vd9",57
2017-12-01,"US","%2Fm%2F027vd9",65
2018-01-01,"US","%2Fm%2F027vd9",46
2018-02-01,"US","%2Fm%2F027vd9",55
2018-03-01,"US","%2Fm%2F027vd9",60
2018-04-01,"US","%2Fm%2F027vd9",57
2018-05-01,"US","%2Fm%2F027vd9",49
2018-06-01,"US","%2Fm%2F027vd9",35
2018-07-01,"US","%2Fm%2F027vd9",31
2018-08-01,"US","%2Fm%2F027vd9",37
2018-09-01,"US","%2Fm%2F027vd9",50
2018-10-01,"US","%2Fm%2F027vd9",68
2018-11-01,"US","%2Fm%2F027vd9",51
2018-12-01,"US","%2Fm%2F027vd9",46
2019-01-01,"US","%2Fm%2F027vd9",45
2019-02-01,"US","%2Fm%2F027vd9",49
2019-03-01,"US","%2Fm%2F027vd9",49
2019-04-01,"US","%2Fm%2F027vd9",48
2019-05-01,"US","%2Fm%2F027vd9",44
2019-06-01,"US","%2Fm%2F027vd9",31
2019-07-01,"US","%2Fm%2F027vd9",29
2019-08-01,"US","%2Fm%2F027vd9",35
2019-09-01,"US","%2Fm%2F027vd9",50
2019-10-01,"US","%2Fm%2F027vd9",65
2019-11-01,"US","%2Fm%2F027vd9",45
2019-12-01,"US","%2Fm%2F027vd9",38
2020-01-01,"US","%2Fm%2F027vd9",40
2020-02-01,"US","%2Fm%2F027vd9",53
2020-03-01,"US","%2Fm%2F027vd9",36
2020-04-01,"US","%2Fm%2F027vd9",31
2020-05-01,"US","%2Fm%2F027vd9",30
2020-06-01,"US","%2Fm%2F027vd9",29
2020-07-01,"US","%2Fm%2F027vd9",28
2020-08-01,"US","%2Fm%2F027vd9",30
2020-09-01,"US","%2Fm%2F027vd9",35
2020-10-01,"US","%2Fm%2F027vd9",40
2020-11-01,"US","%2Fm%2F027vd9",31
2020-12-01,"US","%2Fm%2F027vd9",30
2021-01-01,"US","%2Fm%2F027vd9",31
2021-02-01,"US","%2Fm%2F027vd9",33
2021-03-01,"US","%2Fm%2F027vd9",38
2012-01-01,"US","%2Fm%2F03m50g4",17
2012-02-01,"US","%2Fm%2F03m50g4",19
2012-03-01,"US","%2Fm%2F03m50g4",21
2012-04-01,"US","%2Fm%2F03m50g4",22
2012-05-01,"US","%2Fm%2F03m50g4",20
2012-06-01,"US","%2Fm%2F03m50g4",19
2012-07-01,"US","%2Fm%2F03m50g4",9
2012-08-01,"US","%2Fm%2F03m50g4",9
2012-09-01,"US","%2Fm%2F03m50g4",17
2012-10-01,"US","%2Fm%2F03m50g4",27
2012-11-01,"US","%2Fm%2F03m50g4",20
2012-12-01,"US","%2Fm%2F03m50g4",14
2013-01-01,"US","%2Fm%2F03m50g4",15
2013-02-01,"US","%2Fm%2F03m50g4",19
2013-03-01,"US","%2Fm%2F03m50g4",19
2013-04-01,"US","%2Fm%2F03m50g4",20
2013-05-01,"US","%2Fm%2F03m50g4",18
2013-06-01,"US","%2Fm%2F03m50g4",9
2013-07-01,"US","%2Fm%2F03m50g4",6
2013-08-01,"US","%2Fm%2F03m50g4",9
2013-09-01,"US","%2Fm%2F03m50g4",15
2013-10-01,"US","%2Fm%2F03m50g4",25
2013-11-01,"US","%2Fm%2F03m50g4",25
2013-12-01,"US","%2Fm%2F03m50g4",15
2014-01-01,"US","%2Fm%2F03m50g4",14
2014-02-01,"US","%2Fm%2F03m50g4",16
2014-03-01,"US","%2Fm%2F03m50g4",16
2014-04-01,"US","%2Fm%2F03m50g4",19
2014-05-01,"US","%2Fm%2F03m50g4",17
2014-06-01,"US","%2Fm%2F03m50g4",9
2014-07-01,"US","%2Fm%2F03m50g4",6
